	 activite	Type	date	Temps	Distance	Gain_altitude	Perte_altitude	Vitesse_moy	Vitesse_max	Calories	jour	mois	annee	date2	heure	date2_heure	temp	humidity	wind_speed	wind_degree	clouds_coverage	rain	pressure
0	 peggy	Course à pied	lun., 30 juin 2014 7:03	20:46	2,94	23	19	07:04	05:42	241.0	30	juin	2014	30/06/2014	07:03	30/06/2014 07:03	288.231	56	3.37	323.001	32	NA	989.63
1	 michael	Course à pied	lun., 30 juin 2014 5:28	47:08:00	6,88	47	48	06:51	05:48	573.0	30	juin	2014	30/06/2014	05:28	30/06/2014 05:28	288.231	56	3.37	323.001	32	NA	989.63
2	 michael	Course à pied	dim., 29 juin 2014 5:28	57:52:00	8,37	61	58	06:55	04:41	693.0	29	juin	2014	29/06/2014	05:28	29/06/2014 05:28	291.118	70	3.06	319.002	92	NA	984.16
3	 michael	Course à pied	sam., 28 juin 2014 5:26	48:49:00	6,88	48	50	07:06	04:04	573.0	28	juin	2014	28/06/2014	05:26	28/06/2014 05:26	290.812	94	1.61	66.0028	92	NA	985.96
4	 peggy	Course à pied	ven., 27 juin 2014 6:58	15:04	2,05	12	15	07:20	06:10	170.0	27	juin	2014	27/06/2014	06:58	27/06/2014 06:58	291.953	56	1.96	315	0	0	987.97
5	 michael	Course à pied	ven., 27 juin 2014 6:04	37:04:00	5,4	35	33	06:52	05:25	443.0	27	juin	2014	27/06/2014	06:04	27/06/2014 06:04	291.953	56	1.96	315	0	0	987.97
6	 michael	Course à pied	mer., 25 juin 2014 5:39	45:46:00	6,85	44	42	06:41	05:22	571.0	25	juin	2014	25/06/2014	05:39	25/06/2014 05:39	290.155	93	1.41	314	76	0	980.4
7	 peggy	Course à pied	mar., 24 juin 2014 6:49	21:31	3,04	25	26	07:05	06:00	250.0	24	juin	2014	24/06/2014	06:49	24/06/2014 06:49	291.551	86	0.96	307.001	36	0	984.51
8	 michael	Course à pied	lun., 23 juin 2014 5:36	46:27:00	6,85	49	48	06:47	05:39	570.0	23	juin	2014	23/06/2014	05:36	23/06/2014 05:36	292.064	89	1.41	27.0008	68	NA	989.07
9	 michael	Course à pied	dim., 22 juin 2014 6:11	45:41:00	6,89	48	46	06:38	05:08	572.0	22	juin	2014	22/06/2014	06:11	22/06/2014 06:11	290.525	76	1.41	30.5007	8	NA	987.43
10	 peggy	Course à pied	sam., 21 juin 2014 7:20	23:11	3,06	24	24	07:35	05:36	232.0	21	juin	2014	21/06/2014	07:20	21/06/2014 07:20	301.11	38	2	45	20	NA	1002.9
11	 michael	Course à pied	sam., 21 juin 2014 5:32	43:33:00	6,85	47	50	06:22	04:43	571.0	21	juin	2014	21/06/2014	05:32	21/06/2014 05:32	290.976	54	1.58	348.001	20	NA	985.05
12	 michael	Course à pied	ven., 20 juin 2014 5:50	47:05:00	6,83	44	44	06:53	05:14	572.0	20	juin	2014	20/06/2014	05:50	20/06/2014 05:50	290.423	60	1.66	325.501	0	NA	987.21
13	 michael	Course à pied	jeu., 19 juin 2014 5:32	52:00:00	8,34	55	54	06:14	04:18	698.0	19	juin	2014	19/06/2014	05:32	19/06/2014 05:32	289.4	70	1.07	302.502	0	0	988.38
14	 michael	Course à pied	jeu., 17 juil. 2014 6:13	39:52:00	6,67	65	67	05:59	03:33	547.0	17	juillet	2014	17/07/2014	06:13	17/07/2014 06:13	292.309	78	1.06	19.5078	0	NA	990.45
15	 michael	Course à pied	mar., 15 juil. 2014 6:10	40:30:00	6,69	70	72	06:03	03:59	553.0	15	juillet	2014	15/07/2014	06:10	15/07/2014 06:10	289.81	82	1	307.5	0	NA	990.26
16	 michael & peggy & perrine	Randonnée pédestre	lun., 14 juil. 2014 10:40	01:41:16	5,47	104	230	18:31	02:03	349.0	14	juillet	2014	14/07/2014	10:40	14/07/2014 10:40	298.498	42	4.02	310	0	NA	986.76
17	 michael	Course à pied	dim., 13 juil. 2014 6:06	36:51:00	5,55	46	48	06:38	05:59	457.0	13	juillet	2014	13/07/2014	06:06	13/07/2014 06:06	296.15	55	3.11	308.002	0	NA	1004.4
18	 michael & peggy & perrine	Randonnée pédestre	sam., 12 juil. 2014 11:06	53:19:00	3,2	4	14	16:41	03:38	197.0	12	juillet	2014	12/07/2014	11:06	12/07/2014 11:06	300.95	38	4	0	44	NA	1002.9
19	 michael & peggy & perrine	Randonnée pédestre	sam., 12 juil. 2014 9:20	01:22:47	4,53	66	58	18:16	04:47	281.0	12	juillet	2014	12/07/2014	09:20	12/07/2014 09:20	302.35	37	3	337	0	NA	1003.4
20	 michael	Course à pied	sam., 12 juil. 2014 5:43	40:46:00	6,63	63	61	06:09	05:05	546.0	12	juillet	2014	12/07/2014	05:43	12/07/2014 05:43	291.214	63	3.36	310.001	0	NA	985.91
21	 michael	Course à pied	jeu., 10 juil. 2014 5:27	48:22:00	7,71	74	71	06:17	05:12	644.0	10	juillet	2014	10/07/2014	05:27	10/07/2014 05:27	289.409	57	5.36	306.51	8	NA	984.53
22	 peggy	Course à pied	mer., 9 juil. 2014 6:57	44:21:00	6,01	64	64	07:23	04:14	480.0	9	juillet	2014	09/07/2014	06:57	09/07/2014 06:57	290.731	57	4.87	312.001	8	NA	985.84
23	 michael	Course à pied	mer., 9 juil. 2014 5:17	01:00:05	9,76	100	101	06:09	05:28	806.0	9	juillet	2014	09/07/2014	05:17	09/07/2014 05:17	288.614	64	5.01	303.503	0	NA	985.62
24	 michael	Course à pied	mar., 8 juil. 2014 5:38	40:47:00	6,66	61	61	06:08	04:48	558.0	8	juillet	2014	08/07/2014	05:38	08/07/2014 05:38	286.639	82	3.42	306.003	44	0	987.27
25	 peggy	Course à pied	lun., 7 juil. 2014 7:02	37:44:00	5,01	51	51	07:32	06:45	389.0	7	juillet	2014	07/07/2014	07:02	07/07/2014 07:02	290.95	86	1.56	321.501	92	6	1003.2
26	 michael	Course à pied	lun., 7 juil. 2014 5:41	44:27:00	6,68	64	61	06:39	05:26	556.0	7	juillet	2014	07/07/2014	05:41	07/07/2014 05:41	289.067	98	1.41	333.501	92	4	984.61
27	 michael	Course à pied	dim., 6 juil. 2014 5:52	49:18:00	7,66	77	78	06:26	05:37	630.0	6	juillet	2014	06/07/2014	05:52	06/07/2014 05:52	290.676	95	1.77	50.0028	76	NA	983.05
28	 michael	Course à pied	sam., 5 juil. 2014 5:28	44:25:00	7,22	78	75	06:09	04:59	594.0	5	juillet	2014	05/07/2014	05:28	05/07/2014 05:28	NA	NA	NA	NA	NA	NA	NA
29	 michael	Course à pied	ven., 4 juil. 2014 5:39	44:21:00	6,89	53	54	06:26	04:44	573.0	4	juillet	2014	04/07/2014	05:39	04/07/2014 05:39	292.321	86	4.35	144	92	10	982.69
30	 peggy	Course à pied	jeu., 3 juil. 2014 7:09	34:32:00	4,54	38	41	07:36	06:31	352.0	3	juillet	2014	03/07/2014	07:09	03/07/2014 07:09	289.494	84	1.06	344.506	0	0	992.27
31	 michael	Course à pied	jeu., 3 juil. 2014 5:35	46:41:00	6,89	49	48	06:46	05:40	570.0	3	juillet	2014	03/07/2014	05:35	03/07/2014 05:35	289.494	84	1.06	344.506	0	0	992.27
32	 michael	Course à pied	mer., 2 juil. 2014 6:43	40:15:00	6,45	50	50	06:14	05:11	536.0	2	juillet	2014	02/07/2014	06:43	02/07/2014 06:43	289.688	100	1.41	113.5	92	2.5	987.18
33	 michael	Course à pied	mar., 1 juil. 2014 5:57	46:47:00	6,9	50	51	06:47	05:13	566.0	1	juillet	2014	01/07/2014	05:57	01/07/2014 05:57	289.47	56	1.46	37.0036	68	NA	985.66
34	  michael	Course à pied	jeu., 17 juil. 2014 6:13	39:52:00	6,67	65	67	05:59	03:33	547.0	17	juillet	2014	17/07/2014	06:13	17/07/2014 06:13	292.309	78	1.06	19.5078	0	NA	990.45
35	 michael	Course à pied	mar., 15 juil. 2014 6:10	40:30:00	6,69	70	72	06:03	03:59	553.0	15	juillet	2014	15/07/2014	06:10	15/07/2014 06:10	289.81	82	1	307.5	0	NA	990.26
36	 michael & peggy & perrine	Randonnée pédestre	lun., 14 juil. 2014 10:40	01:41:16	5,47	104	230	18:31	02:03	349.0	14	juillet	2014	14/07/2014	10:40	14/07/2014 10:40	298.498	42	4.02	310	0	NA	986.76
37	 michael	Course à pied	dim., 13 juil. 2014 6:06	36:51:00	5,55	46	48	06:38	05:59	457.0	13	juillet	2014	13/07/2014	06:06	13/07/2014 06:06	296.15	55	3.11	308.002	0	NA	1004.4
